,team,opponent,W,L,GF,GA,SF,SA,PP%,PK%,FOW%,date,home_ind
97,BUF,ANA,1,0,3,0,22,44,0.0,100.0,54.5,2015-12-17,1
98,MIN,COL,1,0,3,0,44,20,0.0,100.0,51.7,2015-12-05,1
99,ANA,SJS,1,0,3,2,25,32,0.0,100.0,52.6,2016-02-02,1
100,VAN,NSH,1,0,4,2,28,37,0.0,100.0,47.3,2016-03-12,1
101,TOR,VAN,1,0,4,2,40,45,25.0,66.7,60.3,2015-11-14,1
102,TBL,CBJ,1,0,4,0,37,37,0.0,100.0,50.9,2016-03-13,0
103,NJD,WPG,1,0,3,1,16,23,50.0,0.0,43.1,2016-01-23,0
104,NYI,NYR,1,0,6,4,32,26,33.3,66.7,32.8,2016-03-06,0
105,FLA,COL,1,0,4,1,28,32,100.0,100.0,48.4,2015-10-27,1
106,ARI,VAN,1,0,3,2,29,37,50.0,50.0,52.9,2016-01-04,0
107,FLA,MIN,1,0,2,1,29,40,0.0,100.0,37.7,2016-01-03,1
108,WPG,CBJ,1,0,6,4,35,29,33.3,75.0,42.6,2015-12-10,1
109,CAR,SJS,1,0,5,2,37,24,50.0,0.0,64.0,2016-02-19,1
110,MTL,BUF,1,0,3,2,34,38,25.0,100.0,50.0,2016-03-10,1
111,DET,NYR,1,0,3,2,43,25,25.0,66.7,66.1,2016-03-12,1
112,COL,NJD,1,0,3,0,26,27,0.0,100.0,52.0,2016-01-14,1
113,WSH,EDM,1,0,1,0,30,33,0.0,100.0,58.5,2015-11-23,1
114,TOR,CBJ,1,0,6,3,34,27,0.0,75.0,58.9,2015-10-16,0
115,SJS,TBL,1,0,4,2,31,30,0.0,100.0,60.4,2016-02-16,0
116,ANA,SJS,1,0,1,0,17,31,0.0,100.0,41.5,2015-11-07,0
117,PIT,DET,1,0,6,3,39,38,0.0,100.0,50.0,2016-02-18,1
118,NSH,MTL,1,0,5,1,19,36,33.3,66.7,55.4,2015-12-21,1
119,MTL,TBL,1,0,4,2,27,39,0.0,100.0,49.2,2016-02-09,1
120,WPG,CGY,1,0,3,1,30,20,0.0,100.0,52.5,2015-10-16,1
121,FLA,WSH,1,0,4,1,26,21,16.7,100.0,54.1,2015-12-10,1
122,WPG,EDM,1,0,1,1,33,22,0.0,100.0,53.6,2016-02-13,0
123,DET,BUF,1,0,4,3,23,35,50.0,60.0,48.4,2016-01-02,0
124,NSH,NYI,1,0,4,2,32,22,100.0,0.0,45.9,2016-03-17,1
125,DET,MTL,1,0,3,2,29,25,16.7,100.0,51.4,2015-12-10,1
126,CAR,ARI,1,0,5,4,18,23,25.0,75.0,50.9,2015-12-06,1
127,EDM,BUF,1,0,4,2,28,34,100.0,75.0,54.2,2015-12-06,1
128,ARI,OTT,1,0,4,3,19,38,0.0,66.7,53.1,2015-11-28,1
129,FLA,MTL,1,0,4,1,36,28,25.0,0.0,60.9,2016-03-15,0
130,ANA,WPG,1,0,4,1,35,20,100.0,100.0,59.0,2016-01-03,1
131,COL,NYR,1,0,2,1,18,25,0.0,100.0,59.2,2015-12-03,0
132,ARI,MTL,1,0,6,2,27,19,50.0,100.0,54.8,2016-02-15,1
133,ARI,SJS,1,0,3,1,22,28,50.0,100.0,58.8,2016-03-17,1
134,LAK,PIT,1,0,5,3,37,20,33.3,100.0,49.2,2015-12-05,1
135,EDM,CBJ,1,0,5,1,35,37,66.7,100.0,59.4,2016-02-02,1
136,TBL,DET,1,0,6,2,34,25,25.0,0.0,42.9,2016-03-22,1
137,ANA,LAK,1,0,4,2,29,29,60.0,75.0,58.9,2016-02-28,1
138,WPG,MIN,1,0,1,0,26,24,0.0,100.0,44.7,2016-01-15,0
139,PIT,ARI,1,0,6,0,33,30,20.0,100.0,51.6,2016-02-29,1
140,EDM,MTL,1,0,4,3,27,21,25.0,50.0,52.1,2015-10-29,1
141,DET,PHI,1,0,3,0,26,30,0.0,100.0,45.2,2016-04-06,1
142,DAL,CHI,1,0,4,0,32,20,25.0,100.0,57.1,2015-12-22,1
143,MTL,BOS,1,0,5,1,30,28,0.0,100.0,53.8,2016-01-01,0
144,SJS,ARI,1,0,3,0,36,25,40.0,100.0,40.3,2016-03-20,1
145,NJD,MIN,1,0,2,1,17,18,0.0,100.0,51.2,2016-01-10,0
146,BOS,NJD,1,0,1,1,39,30,0.0,100.0,60.9,2015-12-20,1
147,ARI,OTT,1,0,4,1,26,36,0.0,100.0,49.2,2015-10-24,0
148,FLA,TOR,1,0,4,1,32,33,25.0,100.0,42.9,2016-03-17,0
149,BOS,DET,1,0,3,2,22,34,0.0,100.0,55.3,2015-11-25,0
150,CGY,NJD,1,0,3,2,30,20,0.0,66.7,52.4,2015-11-17,1
151,CHI,NYR,1,0,5,3,20,34,75.0,0.0,45.6,2016-02-17,0
152,TOR,BUF,1,0,4,1,31,21,0.0,100.0,50.0,2016-03-19,1
153,NYI,SJS,1,0,6,3,34,25,33.3,100.0,56.9,2015-10-17,1
154,CHI,DET,1,0,4,1,26,34,66.7,100.0,53.8,2016-03-06,1
155,TOR,NJD,1,0,2,2,37,27,20.0,60.0,58.6,2015-12-08,1
156,CBJ,VAN,1,0,1,1,28,38,33.3,66.7,44.6,2016-02-04,0
157,PHI,MIN,1,0,3,2,31,26,100.0,66.7,43.6,2016-02-25,1
158,DET,OTT,1,0,3,1,29,23,0.0,85.7,41.1,2016-02-10,1
159,CGY,VAN,1,0,5,2,33,28,0.0,100.0,50.8,2016-02-19,1
160,CHI,TOR,1,0,4,1,29,29,33.3,100.0,45.1,2016-01-15,0
161,PIT,STL,1,0,4,3,34,32,25.0,50.0,57.1,2015-11-25,1
162,VAN,OTT,1,0,5,3,36,30,33.3,100.0,44.9,2016-02-25,1
163,FLA,NYI,1,0,5,1,16,34,0.0,100.0,52.4,2015-12-15,0
164,ARI,COL,1,0,4,2,28,28,0.0,100.0,43.3,2015-11-05,1
165,PIT,FLA,1,0,3,2,35,44,20.0,80.0,50.7,2016-02-06,0
166,NJD,CHI,1,0,4,2,26,29,0.0,100.0,42.0,2015-11-06,1
