,team,opponent,hits,blocked_shots,giveaways,takeaways,save%,date
49,PIT,PHI,20,25,11,9,18.5,2016-10-29
0,NJD,CAR,20,4,13,6,4.9,2016-11-08
1,CBJ,CHI,20,20,2,3,10.7,2016-10-21
2,PHI,BUF,20,14,13,5,7.3,2016-10-25
3,NJD,BOS,20,15,14,11,3.4,2016-10-20
4,NYI,MTL,20,28,13,8,7.1,2016-10-26
5,EDM,NYR,20,11,7,4,12.5,2016-11-03
6,ANA,NJD,19,10,2,1,4.2,2016-10-18
7,MIN,BUF,19,9,4,4,3.6,2016-11-01
8,WSH,SJS,19,10,10,5,0.0,2016-11-08
9,MTL,NYI,19,18,9,10,10.3,2016-10-26
10,ANA,DAL,19,13,3,4,5.7,2016-10-13
11,SJS,CBJ,19,21,22,8,10.3,2016-10-27
12,FLA,TBL,19,7,5,11,9.7,2016-10-18
13,STL,NYR,19,12,8,3,0.0,2016-11-01
14,CGY,STL,19,12,4,6,13.3,2016-10-25
15,CAR,PHI,19,10,9,6,10.0,2016-10-22
16,NYI,ARI,19,15,7,6,9.7,2016-10-21
17,NYI,TOR,19,22,8,4,14.3,2016-10-30
18,MIN,STL,19,12,1,6,9.5,2016-10-13
19,CHI,COL,19,11,11,9,19.0,2016-11-03
20,LAK,MIN,19,4,6,5,10.0,2016-10-18
21,NSH,CHI,19,19,7,8,11.1,2016-10-14
22,NYR,DET,19,14,11,18,3.0,2016-10-19
23,PIT,ANA,19,14,11,4,14.7,2016-11-02
24,VAN,OTT,19,9,8,5,0.0,2016-10-25
25,MTL,VAN,19,24,19,6,14.3,2016-11-02
26,DET,EDM,19,8,8,7,4.3,2016-11-06
27,NJD,BUF,19,9,10,2,4.7,2016-11-11
28,COL,MIN,19,12,2,8,3.1,2016-11-05
29,MTL,PIT,19,9,15,4,12.5,2016-10-18
30,CBJ,DAL,19,12,3,12,11.5,2016-10-22
31,TOR,FLA,19,14,9,11,10.7,2016-10-27
32,OTT,VAN,18,15,4,7,10.7,2016-10-25
33,TBL,MTL,18,13,21,7,3.2,2016-10-27
34,EDM,CAR,18,15,13,11,10.7,2016-10-18
35,STL,DET,18,10,5,10,3.1,2016-10-27
36,ARI,NYR,18,8,4,3,6.9,2016-10-23
37,CBJ,ANA,18,8,5,9,10.8,2016-10-28
38,CAR,EDM,18,16,7,9,6.1,2016-10-18
39,DET,NSH,18,11,5,9,11.6,2016-10-21
40,DAL,WPG,18,19,10,5,6.7,2016-11-08
41,WPG,CAR,18,12,13,9,19.2,2016-10-13
42,NYI,ANA,18,20,6,8,10.0,2016-10-16
43,COL,WPG,18,18,6,8,0.0,2016-10-28
44,CGY,DAL,18,10,9,16,6.5,2016-11-10
45,FLA,TBL,18,9,9,12,9.4,2016-11-07
46,DAL,NSH,18,20,4,4,5.4,2016-10-18
47,NJD,FLA,18,16,15,8,4.2,2016-10-13
48,OTT,TBL,18,15,12,9,3.6,2016-10-22
49,NSH,ANA,17,9,15,3,3.4,2016-10-26
0,SJS,NYR,17,7,13,5,12.9,2016-10-17
1,TOR,WPG,17,27,17,6,10.0,2016-10-19
2,DET,SJS,17,14,9,3,9.4,2016-10-22
3,WPG,DAL,17,17,13,9,11.1,2016-10-27
4,WSH,FLA,17,7,17,9,11.1,2016-11-05
5,MIN,NYI,17,11,5,9,10.3,2016-10-23
6,VAN,WSH,17,18,7,2,8.0,2016-10-29
7,CGY,CAR,17,17,11,5,7.7,2016-10-20
8,VAN,NYR,17,14,9,6,17.2,2016-11-08
9,DET,FLA,17,5,9,4,5.6,2016-10-30
10,WPG,COL,17,15,8,11,11.1,2016-11-11
11,COL,WPG,17,7,3,20,10.7,2016-11-11
12,ARI,SJS,17,27,8,9,10.0,2016-11-01
13,WSH,COL,17,9,16,12,7.5,2016-10-18
14,FLA,NJD,17,8,6,11,12.9,2016-11-03
15,WSH,FLA,17,14,2,4,13.8,2016-10-20
16,WPG,COL,16,14,1,9,4.8,2016-10-28
17,DET,CAR,16,13,7,8,16.0,2016-10-25
18,BOS,FLA,16,20,4,11,7.7,2016-11-01
19,OTT,NSH,16,15,7,4,2.9,2016-11-08
20,DET,PHI,16,15,10,8,12.0,2016-11-02
21,LAK,OTT,16,21,6,4,3.0,2016-11-11
22,NJD,ANA,16,12,7,6,7.1,2016-10-18
23,WSH,NYI,16,14,17,14,7.1,2016-10-15
24,MIN,TOR,16,13,10,10,11.1,2016-10-20
25,SJS,DET,16,11,4,3,0.0,2016-10-22
26,MIN,BOS,16,16,15,10,15.2,2016-10-25
27,CGY,BUF,16,10,20,11,11.8,2016-10-18
28,STL,CGY,16,5,1,3,4.2,2016-10-25
29,WSH,VAN,16,8,4,7,14.3,2016-10-29
30,FLA,COL,16,4,7,7,13.2,2016-10-22
31,CBJ,ANA,16,15,6,1,16.7,2016-11-09
32,NSH,COL,16,17,3,8,13.9,2016-11-01
33,CHI,WSH,16,16,7,8,5.9,2016-11-11
34,NYR,BOS,16,18,11,15,20.8,2016-11-05
35,SJS,FLA,16,12,10,6,13.8,2016-11-10
36,VAN,CAR,16,15,10,10,12.9,2016-10-16
37,CGY,STL,16,11,15,9,14.8,2016-10-22
38,BOS,WPG,15,15,14,4,16.0,2016-10-17
39,CGY,VAN,15,23,8,5,4.0,2016-10-15
40,SJS,WSH,15,21,11,7,13.0,2016-11-08
41,WSH,EDM,15,16,13,9,2.9,2016-10-26
42,MTL,CBJ,15,9,2,1,0.0,2016-11-04
43,NSH,OTT,15,9,13,13,10.0,2016-11-08
44,DET,STL,15,17,2,7,3.7,2016-10-27
45,NYR,VAN,15,10,23,7,11.5,2016-11-08
46,NYR,WPG,15,21,13,6,27.8,2016-11-06
47,CBJ,SJS,15,12,5,4,7.1,2016-10-15
48,COL,ARI,15,10,2,2,8.8,2016-10-29
49,CGY,OTT,15,20,12,11,26.3,2016-10-28
0,TBL,FLA,15,7,11,8,10.7,2016-10-18
1,CAR,WPG,15,10,13,7,14.8,2016-10-13
2,DET,NYR,15,20,6,14,11.1,2016-10-19
3,STL,CGY,14,14,6,14,15.0,2016-10-22
4,STL,VAN,14,15,2,3,4.2,2016-10-18
5,WPG,WSH,14,13,15,9,4.4,2016-11-01
6,MTL,BUF,14,12,8,6,16.7,2016-10-13
7,BUF,EDM,14,15,5,1,25.0,2016-10-16
8,STL,NYR,14,13,2,7,16.7,2016-10-15
9,NYR,BOS,14,8,15,16,16.1,2016-10-26
10,NSH,ARI,14,10,0,4,5.4,2016-11-03
11,PHI,NYI,14,9,7,8,4.8,2016-11-03
12,MIN,LAK,14,25,8,8,23.1,2016-10-18
13,CAR,OTT,14,9,14,9,3.0,2016-11-01
14,BOS,CBJ,14,23,2,9,16.2,2016-10-13
15,FLA,DET,14,15,15,16,10.5,2016-10-15
16,NJD,ARI,14,9,8,3,14.3,2016-10-25
17,SJS,PIT,14,20,5,5,5.9,2016-10-20
18,CBJ,DAL,14,18,2,1,10.7,2016-11-01
19,FLA,WSH,14,8,5,16,7.1,2016-10-20
20,WPG,DAL,14,17,4,6,6.7,2016-10-25
21,FLA,BOS,14,9,9,13,2.9,2016-11-01
22,BOS,DET,13,14,6,5,2.8,2016-10-29
23,VAN,BUF,13,12,7,2,10.0,2016-10-20
24,DAL,CBJ,13,16,1,3,5.3,2016-11-01
25,PHI,CAR,13,23,9,3,22.2,2016-10-22
26,CHI,LAK,13,10,8,6,10.3,2016-10-30
27,DAL,WPG,13,9,10,5,2.6,2016-10-27
28,TBL,NYI,13,14,4,9,16.7,2016-11-01
29,SJS,NYI,13,13,6,4,11.1,2016-10-18
30,NJD,FLA,13,11,7,2,8.8,2016-11-03
31,TBL,OTT,13,17,1,5,11.4,2016-10-22
