,home_team,away_team,date,home_team_win,spread,home_spread,home_wins,home_goals,home_shots,home_PP%,home_FOW%,home_PIM,home_hits,home_blocked,home_giveaways,home_takeaways,home_save%,home_shot%,home_PDO,home_corsi,away_spread,away_wins,away_goals,away_shots,away_PP%,away_FOW%,away_PIM,away_hits,away_blocked,away_giveaways,away_takeaways,away_save%,away_shot%,away_PDO,away_corsi
53,BOS,MIN,2016-10-25,0,-5,-0.5,0.5,2.0,28.5,8.35,45.35,10.0,30.0,12.0,5.0,5.5,7.55,0.0753968253968,7.6253968254,-0.5,-2.0,0.0,2.0,29.0,0.0,50.9,14.0,29.0,15.0,10.5,4.5,12.25,0.122159090909,12.3721590909,3.5
54,DAL,WPG,2016-10-25,1,1,-2.0,0.0,1.5,26.0,12.5,63.4,19.0,10.5,19.0,12.5,5.5,7.5,0.075,7.575,-6.5,-1.0,0.5,2.5,32.5,16.65,50.05,4.0,26.0,11.5,13.0,5.5,7.35,0.0735294117647,7.42352941176,-3.5
55,DET,CAR,2016-10-25,1,2,2.5,1.0,4.0,37.5,14.3,56.65,13.5,17.5,12.5,7.0,6.0,10.5,0.105014534884,10.6050145349,6.0,-0.5,0.5,3.5,31.0,12.5,47.5,14.0,15.0,20.0,10.0,4.0,14.95,0.149572649573,15.0995726496,-4.5
56,LAK,CBJ,2016-10-25,1,1,0.5,1.0,3.5,35.0,29.15,59.3,23.0,20.5,14.0,11.5,6.0,12.35,0.123387096774,12.4733870968,-6.5,2.0,1.0,3.0,27.0,50.0,59.5,8.5,15.5,19.0,7.0,5.0,5.35,0.0535714285714,5.40357142857,0.0
57,NJD,ARI,2016-10-25,1,2,0.0,0.5,1.5,30.5,0.0,48.9,6.0,28.0,12.5,8.0,3.5,5.95,0.0590277777778,6.00902777778,5.0,-1.0,0.0,2.0,27.0,25.0,41.6,6.0,19.5,21.5,14.5,7.5,10.6,0.106079404467,10.7060794045,1.5
58,PHI,BUF,2016-10-25,1,0,0.5,0.5,3.5,29.5,25.0,50.0,7.0,22.5,19.5,12.5,2.5,15.65,0.156565656566,15.8065656566,-1.0,-1.0,0.0,2.0,24.0,10.0,46.55,11.0,14.5,11.0,13.5,6.5,10.9,0.108823529412,11.0088235294,3.0
59,PIT,FLA,2016-10-25,1,1,-1.5,0.5,2.0,27.5,22.5,45.95,5.0,15.0,16.5,9.0,3.5,15.85,0.158333333333,16.0083333333,-9.5,0.5,0.5,3.5,33.0,20.85,53.6,6.5,15.0,6.0,6.0,11.5,10.15,0.101503759398,10.2515037594,4.5
60,SJS,ANA,2016-10-25,1,1,-2.0,0.0,1.0,32.0,10.0,57.9,9.0,20.5,14.5,9.5,2.5,12.2,0.121875,12.321875,-6.0,1.5,1.0,3.5,31.5,32.15,52.0,5.0,29.5,12.5,7.5,3.5,9.95,0.0995085995086,10.0495085995,7.0
61,STL,CGY,2016-10-25,0,-3,0.0,0.5,3.5,37.5,0.0,54.2,8.0,19.0,20.5,13.5,10.5,13.9,0.139291465378,14.0392914654,-12.5,-1.0,0.5,3.0,29.0,0.0,48.05,10.0,13.5,12.0,9.5,5.5,10.45,0.104377104377,10.5543771044,-5.5
62,TOR,TBL,2016-10-25,0,-4,-0.5,0.0,3.0,33.5,0.0,57.8,5.0,14.0,12.0,10.0,8.0,11.25,0.112698412698,11.3626984127,-2.5,-0.5,0.5,2.0,31.0,0.0,48.85,8.5,23.5,11.0,9.0,9.5,1.8,0.0178571428571,1.81785714286,2.0
