,team,opponent,PIM,penalties,date
48,CHI,LAK,2,1,2015-11-28
49,CHI,STL,2,1,2016-01-24
0,CHI,SJS,2,1,2016-02-09
1,MIN,CHI,2,1,2015-10-30
2,MTL,OTT,2,1,2015-11-03
3,FLA,LAK,2,1,2015-11-07
4,NYR,BOS,2,1,2016-01-11
5,CGY,CBJ,2,1,2016-02-05
6,NSH,CBJ,2,1,2015-11-20
7,CAR,NYR,2,1,2016-01-22
8,MTL,MIN,2,1,2015-12-22
9,LAK,NYR,2,1,2016-02-12
10,WSH,DET,2,1,2015-12-08
11,WSH,CHI,2,1,2015-10-15
12,WSH,NJD,2,1,2016-02-20
13,MIN,ANA,2,1,2015-10-24
14,NYI,CAR,2,1,2016-03-26
15,CAR,WSH,2,1,2015-12-31
16,NJD,CAR,2,1,2015-12-29
17,OTT,CHI,2,1,2016-01-03
18,NYR,VAN,2,1,2016-01-19
19,NYI,OTT,2,1,2016-03-23
20,BUF,MIN,2,1,2016-01-12
21,NSH,NYI,0,0,2016-03-17
22,NYI,BUF,0,0,2015-11-01
23,CAR,VAN,0,0,2016-01-15
24,MIN,TOR,0,0,2016-03-03
25,CAR,MIN,0,0,2015-11-12
26,CGY,TBL,0,0,2016-01-05
27,WPG,LAK,0,0,2016-04-09
28,DAL,WSH,0,0,2015-11-19
29,LAK,TOR,0,0,2015-12-19
30,BUF,SJS,0,0,2016-02-26
31,VAN,BOS,0,0,2016-01-21
32,CAR,MTL,0,0,2016-04-07
33,BUF,NYI,0,0,2015-11-01
34,BOS,VAN,0,0,2016-01-21
35,TBL,LAK,0,0,2015-11-25
36,DAL,CAR,0,0,2015-11-06
37,NYR,ANA,0,0,2016-03-16
38,SJS,BUF,0,0,2016-02-26
39,NYI,CBJ,0,0,2015-12-12
40,NYR,TOR,0,0,2015-10-30
41,BOS,NYR,0,0,2016-01-11
42,NJD,ANA,0,0,2015-12-19
43,CAR,ANA,0,0,2015-11-16
44,CHI,EDM,0,0,2015-12-17
45,BUF,LAK,0,0,2015-12-12
