,team,opponent,W,L,GF,GA,SF,SA,PP%,PK%,FOW%,date,home_ind
66,BUF,WPG,1,0,3,1,28,38,0.0,100.0,53.7,2016-10-30,0
67,COL,TBL,1,0,4,0,16,27,0.0,100.0,49.1,2016-10-20,0
68,DET,NSH,1,0,5,3,43,33,28.6,25.0,50.0,2016-10-21,1
69,NYR,WSH,1,0,4,2,26,28,33.3,100.0,45.8,2016-10-22,0
70,OTT,ARI,1,0,7,4,42,35,50.0,80.0,50.0,2016-10-18,1
71,NYR,EDM,1,0,3,1,27,39,0.0,100.0,46.7,2016-11-13,0
72,NYI,ANA,1,0,3,2,30,26,0.0,100.0,38.7,2016-10-16,1
73,OTT,PHI,1,0,2,2,26,35,0.0,100.0,44.4,2016-11-15,0
74,TBL,BUF,1,0,4,1,38,33,66.7,80.0,45.2,2016-11-17,0
75,CAR,CGY,1,0,4,2,32,26,25.0,100.0,54.2,2016-10-20,0
76,MIN,BUF,1,0,4,0,22,38,0.0,100.0,36.2,2016-10-27,0
77,ARI,PHI,1,0,5,4,25,32,0.0,75.0,48.1,2016-10-27,0
78,MTL,NYI,1,0,3,2,29,28,100.0,50.0,45.1,2016-10-26,0
79,NSH,STL,1,0,3,1,28,24,0.0,100.0,47.9,2016-11-10,1
80,CBJ,MTL,1,0,10,0,40,30,80.0,100.0,44.4,2016-11-04,1
81,CHI,MTL,1,0,3,2,35,23,0.0,50.0,54.5,2016-11-13,1
82,NSH,OTT,1,0,5,1,40,31,0.0,83.3,48.1,2016-11-17,0
83,FLA,DET,1,0,4,1,38,22,0.0,100.0,44.9,2016-10-15,1
84,DAL,COL,1,0,3,2,22,36,28.6,100.0,51.2,2016-11-17,1
85,BOS,TBL,1,0,3,3,31,30,25.0,50.0,47.3,2016-11-03,0
86,ANA,CGY,1,0,4,1,21,26,66.7,100.0,53.7,2016-11-06,1
87,CHI,TOR,1,0,4,4,35,34,0.0,50.0,53.3,2016-10-22,1
88,WSH,WPG,1,0,4,3,32,27,20.0,100.0,58.3,2016-11-03,1
89,BOS,CBJ,1,0,6,3,37,31,0.0,66.7,53.8,2016-10-13,0
90,TBL,NYI,1,0,4,0,31,34,0.0,100.0,49.2,2016-11-14,0
91,TBL,DET,1,0,6,4,36,32,50.0,50.0,56.0,2016-10-13,1
92,MIN,PIT,1,0,4,2,44,41,33.3,50.0,54.9,2016-11-10,0
93,WPG,CAR,1,0,5,4,26,27,20.0,50.0,35.8,2016-10-13,1
94,MTL,BOS,1,0,4,2,29,21,0.0,83.3,57.1,2016-10-22,0
95,EDM,WSH,1,0,4,1,29,35,25.0,100.0,54.0,2016-10-26,1
96,SJS,NSH,1,0,4,1,26,28,50.0,100.0,54.7,2016-10-29,1
97,TOR,FLA,1,0,6,1,30,27,0.0,100.0,49.1,2016-11-17,1
98,TBL,NYI,1,0,4,1,28,32,33.3,100.0,49.1,2016-11-10,1
99,DET,VAN,1,0,3,1,27,37,0.0,100.0,52.4,2016-11-10,1
100,NSH,CHI,1,0,3,2,27,24,50.0,100.0,56.3,2016-10-14,1
101,STL,BUF,1,0,4,1,31,24,100.0,75.0,62.3,2016-11-15,1
102,NSH,COL,1,0,5,1,36,29,20.0,100.0,47.4,2016-11-01,0
103,OTT,LAK,1,0,2,1,33,33,0.0,100.0,53.7,2016-11-11,1
104,BUF,OTT,1,0,2,1,32,33,0.0,75.0,44.4,2016-11-05,0
105,CBJ,DAL,1,0,3,0,26,32,0.0,100.0,34.4,2016-10-22,0
106,TBL,NJD,1,0,4,1,35,38,25.0,100.0,52.8,2016-11-05,1
107,WPG,TOR,1,0,5,4,34,40,33.3,0.0,56.3,2016-10-19,1
108,WSH,VAN,1,0,5,2,35,25,50.0,100.0,53.6,2016-10-29,0
109,MTL,BUF,1,0,4,1,24,31,0.0,80.0,38.5,2016-10-13,0
110,LAK,CBJ,1,0,3,2,30,21,0.0,0.0,54.7,2016-10-25,1
111,NYR,CGY,1,0,4,1,28,36,0.0,66.7,54.0,2016-11-12,0
112,NYR,STL,1,0,5,0,29,35,33.3,100.0,55.4,2016-11-01,1
113,EDM,STL,1,0,3,1,23,35,0.0,100.0,57.6,2016-10-20,1
114,VAN,BUF,1,0,2,1,20,27,20.0,100.0,47.6,2016-10-20,1
115,CGY,MIN,1,0,1,0,27,27,16.7,100.0,46.8,2016-11-15,0
